scenario,penetration_pct,seed,n_evs,hour,v_min,v_max,v_min_all,v_max_all,xfmr_pct,converged
base,40,2,1005,13,0.9925901424208317,1.0386509101728456,0.988445681902171,1.0386509101728456,40.03984023149357,True
base,40,2,1005,14,0.9935111794559396,1.0394584907504103,0.9889774813288389,1.0394584907504103,39.26864660975189,True
base,40,2,1005,15,0.9835964668025229,1.0398293546665465,0.9807500602843258,1.0398293546665465,52.87763188156699,True
base,40,2,1005,16,0.9785597911643009,1.048140154124295,0.9713153858709098,1.048140154124295,70.54043029536699,True
base,40,2,1005,17,0.9686343397170784,1.055855001122719,0.9549451022998019,1.0585836673875488,101.78628753780656,True
base,40,2,1005,18,0.9710792141091797,1.0612593598948232,0.9537693184203438,1.0640605988748033,108.84690858959472,True
base,40,2,1005,19,0.9774970006399549,1.0629935963514006,0.9563436333935631,1.0656661674424728,104.47266491462611,True
base,40,2,1005,20,0.9865332421945774,1.0571239993755892,0.965071081647557,1.059278332866148,89.33445361031185,True
base,40,2,1005,21,0.9878031265182113,1.0449555143996851,0.9731272492103761,1.046541011127953,74.5694314079025,True
base,40,2,1005,22,0.9930168761956306,1.0394464576523987,0.9800585376195659,1.0394464576523987,61.29222773778507,True
base,40,2,1005,23,0.9938381674260365,1.036916770514648,0.9861750505563184,1.036916770514648,49.93923922422391,True
base,40,3,1005,0,0.9846422778455016,1.0468293737982506,0.9846422778455016,1.0468293737982506,42.00878782276368,True
base,40,3,1005,1,0.9902597578972623,1.0476434814537694,0.9902597578972623,1.0476434814537694,37.53526082142381,True
base,40,3,1005,2,0.9943113602842445,1.0471605005212652,0.9941945386767439,1.0471605005212652,33.849992656854155,True
base,40,3,1005,3,0.999487865930425,1.046286633895148,0.9963567663495849,1.046286633895148,29.536447653591836,True
base,40,3,1005,4,0.9957257634909505,1.0417641436508913,0.9945565915134902,1.0417641436508913,30.863387991816086,True
base,40,3,1005,5,0.9899858576687295,1.0377658383711668,0.9899858576687295,1.0377658383711668,34.497978226031464,True
base,40,3,1005,6,0.9855967760405565,1.035295656552979,0.9855967760405565,1.035295656552979,37.51922139690815,True
base,40,3,1005,7,0.9856196914758123,1.045687165431273,0.984474190321541,1.045687165431273,46.40799667733116,True
base,40,3,1005,8,0.984898355527286,1.0490588078276426,0.9785187569724351,1.0490588078276426,55.69827805104629,True
base,40,3,1005,9,0.9953813892190936,1.0494624008154,0.9831199024124213,1.0494624008154,47.60248918665923,True
base,40,3,1005,10,0.9958111033829712,1.0398980622906135,0.9866501257928062,1.0398980622906135,41.81888560061299,True
base,40,3,1005,11,0.9967403027436216,1.0413767663892484,0.9871867682714456,1.0413767663892484,41.03236541627926,True
base,40,3,1005,12,0.991703400036775,1.0377387522733583,0.9879232707784092,1.0377387522733583,40.81327505524564,True
base,40,3,1005,13,0.9926259959035306,1.038550104359078,0.9884561499213477,1.038550104359078,40.03865582125898,True
base,40,3,1005,14,0.993546705269982,1.0393581416007396,0.9889877595983146,1.0393581416007396,39.26750999315014,True
base,40,3,1005,15,0.9835776356659288,1.0396680280880162,0.9807704390304393,1.0396680280880162,52.87481233245519,True
base,40,3,1005,16,0.9788241363223973,1.0482516216195938,0.9713687713573552,1.0482516216195938,70.53212592598295,True
base,40,3,1005,17,0.969392791886949,1.0558830040168852,0.9551251351344591,1.0586537557178624,101.75460130220256,True
base,40,3,1005,18,0.9722071042757844,1.061288218299875,0.9540456820884609,1.0641524301830598,108.79685874301019,True
base,40,3,1005,19,0.978533162914988,1.0630318929403517,0.9565928032482149,1.065761403701506,104.42635574535706,True
base,40,3,1005,20,0.9873245392971011,1.0571754435240224,0.9652491310612318,1.0593730617106296,89.302948399483,True
base,40,3,1005,21,0.98805950442959,1.044986683157539,0.9731408141682475,1.0466155950343061,74.53868895218747,True
base,40,3,1005,22,0.993236293827803,1.039591675131257,0.9801364198133204,1.039591675131257,61.280984395401326,True
base,40,3,1005,23,0.993996866713199,1.036998859158513,0.9862263808767994,1.036998859158513,49.93305667246834,True
base,40,4,1005,0,0.9839147637631286,1.048103878012601,0.9839147637631286,1.048103878012601,42.030298387449776,True
base,40,4,1005,1,0.9894804843002484,1.0462631939560147,0.9894804843002484,1.0462631939560147,37.54017803480377,True
base,40,4,1005,2,0.9937605073264489,1.0453421245821473,0.9937605073264489,1.0453421245821473,33.84589270441413,True
base,40,4,1005,3,0.9990450329880588,1.0455026717112255,0.9962364546504392,1.0455026717112255,29.53802015842612,True
base,40,4,1005,4,0.9954276381842255,1.042168842453808,0.9944747055887204,1.042168842453808,30.864820012286607,True
base,40,4,1005,5,0.9896799796084703,1.0381734102444027,0.9896799796084703,1.0381734102444027,34.50009857843653,True
base,40,4,1005,6,0.9852843045330381,1.0347942435383584,0.9852843045330381,1.0347942435383584,37.52185161179431,True
base,40,4,1005,7,0.9852914601318592,1.0459906415032956,0.984374927397377,1.0459906415032956,46.4119766651049,True
base,40,4,1005,8,0.9843515376272662,1.0484543454346862,0.9784097179104077,1.0484543454346862,55.70369436296826,True
base,40,4,1005,9,0.9952179408176811,1.0491765505743837,0.9830701798463798,1.0491765505743837,47.60459207917026,True
base,40,4,1005,10,0.9956863706525433,1.0396224620932184,0.9866035312313091,1.0396224620932184,41.82055905046055,True
